adress_id,bezeichnung,latitude,longitude,service_id,service_kfz_parkplaetze_fuer_behinderte,service_hilfen_fuer_gehbehinderte,service_hilfen_fuer_sehbehinderte,service_hilfen_fuer_gehoerlose_und_schwerhoerige_menschen,service_bezeichnung,service_anzeigename,service_beschreibung,service_kurzbeschreibung,besondere_angebote,sonstige_angebote,altersgruppe,weitere_informationen,
﻿10100152,"Spielplatz ""Schwere-Reiter-Str. Ecke Ackermannstr.""",48.1634805031483,11.552318303568878,10100153,Nein,Nein,Nein,Nein,Service Spielplatz,"Spielplatz ""Schwere-Reiter-Str. Ecke Ackermannstr.""",,,Skateanlage,,Jugendliche,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101944,"Fitness Parcours "" Südpark """,48.10476463890514,11.507670995604412,10101945,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Südpark """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101948,"Fitness Parcours "" Feldmochinger See """,48.21552412585999,11.513373252187531,10101949,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Feldmochinger See """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101950,"Fitness Parcours "" Merseburger Straße """,48.18780274519349,11.516681652475238,10101951,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Merseburger Straße""",,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101952,"Fitness Parcours "" Hogenbergplatz """,48.13695922485689,11.507236017551785,10101953,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Hogenbergplatz """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101954,"Fitness Parcours "" Servetstraße """,48.19776499735251,11.455718660444251,10101955,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Servetstraße """,,,Fitness Parcours,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101956,"Fitness Parcours "" Oskar-Maria-Graf-Ring """,48.09565988998664,11.664220967035789,10101957,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Oskar-Maria-Graf-Ring """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10101958,"Fitness Parcours "" Mildred-Scheel-Bogen """,48.17360906413549,11.580317847137142,10101959,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Mildred-Scheel-Bogen """,,,Fitness Parcours,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10115080,"Dirtbikeanlage ""Silberdistelstr.""",48.13742913686116,11.47225081264459,10115081,Nein,Nein,Nein,Nein,Service Spielplatz,"Dirtbikeanlage ""Silberdistelstr.""",,,Dirtbike,,"Erwachsene
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10115082,"Dirtbikeanlage ""Goteboldstr.""",48.18298708949316,11.43755884798746,10115083,Nein,Nein,Nein,Nein,Service Spielplatz,"Dirtbikeanlage ""Goteboldstr.""",,,Dirtbike,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
10171187,"Spielplatz ""Hans-Mielich-Platz""",48.11629748008379,11.56901227259241,10171188,Nein,Nein,Nein,Nein,Service Spielplatz,"Spielplatz ""Hans-Mielich-Platz""",,,"Bodenschach
Wasserspiel",Boulebahn,"Kleinkinder
Schulkinder
Jugendliche
Erwachsene",,
10175538,"Fitness Parcours "" Isarauen """,48.11466750220774,11.562478719327867,10175539,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Isarauen """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175540,"Fitness Parcours "" Flurstraße """,48.13436878681177,11.606412705961025,10175541,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Flurstraße """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175542,"Fitness Parcours "" Oberhofer Platz """,48.18740634531224,11.575827706169918,10175543,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Oberhofer Platz """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175544,"Fitness Parcours "" Toni-Pfülf-Straße, Feldmoching""",48.20256642419833,11.534422066021495,10175545,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Toni-Pfülf-Straße, Feldmoching""",,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175546,"Fitness Parcours "" Bayernplatz """,48.16677241521351,11.56770287648338,10175547,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Bayernplatz """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175548,"Fitness Parcours "" Ostpark """,48.11512630577146,11.634729283608605,10175549,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Ostpark """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10175550,"Fitness Parcours "" Theolottstraße """,48.22235547571223,11.564120154739227,10175551,Nein,Nein,Nein,Nein,Service Spielplatz,"Fitness Parcours "" Theolottstraße """,,,Fitness Parcours,,"Jugendliche
Erwachsene",,
10181580,"Spielplatz ""Memminger Platz""",48.18068179944827,11.50545275243578,10181581,Nein,Nein,Nein,Nein,Service Spielplatz,"Spielplatz ""Memminger Platz""",,,Streetball,,"Schulkinder
Jugendliche",,
10183802,"Spielplatz ""Baierbrunner Straße, westl. der Bahngleise""",48.09326897486868,11.53086406376199,10183803,Nein,Nein,Nein,Nein,"Spielplatz ""Baierbrunner Straße, westl. der Bahngleise""","Spielplatz ""Baierbrunner Straße, westl. der Bahngleise""",,,Streetball,,"Jugendliche
Schulkinder",,
10195434,"Spielplatz ""Schwablhofstraße""",48.119994445277236,11.684303911850625,10195435,Nein,Nein,Nein,Nein,"Spielplatz ""Schwablhofstraße""","Spielplatz ""Schwablhofstraße""",,,"Bolzplatz
Skateanlage
Streetball",,"Kleinkinder
Schulkinder
Jugendliche
Erwachsene",,
1057921,"Spielplatz ""Luitpoldpark Bolzplatz""",48.17521795434871,11.571524572868443,1057922,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark Bolzplatz""","Spielplatz ""Luitpoldpark Bolzplatz""",,,"Bolzplatz
Skateanlage
Streetball",,Jugendliche,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057923,"Spielplatz ""Luitpoldpark, Rodelberg""",48.172751604976646,11.57094005509799,1057924,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark, Rodelberg""","Spielplatz ""Luitpoldpark, Rodelberg""",,,Rodelhügel,,Jugendliche,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057925,"Spielplatz ""Luitpoldpark, unterhalb des Rodelbergs (ehem. Raketenspielplatz)""",48.17442596534568,11.571369813750877,1057926,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark, unterhalb des Rodelbergs (ehem. Raketenspielplatz)""","Spielplatz ""Luitpoldpark, unterhalb des Rodelbergs (ehem. Raketenspielplatz)""",,,,,"Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057927,"Spielplatz ""Luitpoldpark, am Hochhaus ggü. Brunnerstr. 43""",48.17374063686121,11.568471289035708,1057928,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark, am Hochhaus ggü. Brunnerstr. 43""","Spielplatz ""Luitpoldpark, am Hochhaus ggü. Brunnerstr. 43""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057929,"Spielplatz ""Luitpoldpark, Pumucklspielplatz ggü. Brunnerstr. 31""",48.171786926174796,11.567896078188644,1057930,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark, Pumucklspielplatz ggü. Brunnerstr. 31""","Spielplatz ""Luitpoldpark, Pumucklspielplatz ggü. Brunnerstr. 31""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057931,"Spielplatz ""Luitpoldpark, Trinkbrunnen, ggü. Brunnerstr. 5""",48.168718831203925,11.56753193385707,1057932,Nein,Nein,Nein,Nein,"Spielplatz ""Luitpoldpark, Trinkbrunnen, ggü. Brunnerstr. 5""","Spielplatz ""Luitpoldpark, Trinkbrunnen, ggü. Brunnerstr. 5""",,,,,"Kleinkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057933,"Spielplatz ""Wartburgplatz""",48.174158590853786,11.584293269411743,1057934,Nein,Nein,Nein,Nein,"Spielplatz ""Wartburgplatz""","Spielplatz ""Wartburgplatz""",,,,,"Kleinkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057935,"Spielplatz ""Speyerer Str. ggü. Nr. 10""",48.167757848777754,11.580029418802486,1057936,Nein,Nein,Nein,Nein,"Spielplatz ""Speyerer Str. ggü. Nr. 10""","Spielplatz ""Speyerer Str. ggü. Nr. 10""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057937,"Spielplatz ""Bayernplatz""",48.16613853079908,11.567741804494796,1057938,Nein,Nein,Nein,Nein,"Spielplatz ""Bayernplatz""","Spielplatz ""Bayernplatz""",,,"Sommerstockbahn
Streetball
Wasserspiel",,"Kleinkinder
Schulkinder
Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057939,"Spielplatz ""Olympiaberg, Martin-Luther-King-Weg""",48.17250724895332,11.558639751022378,1057940,Nein,Nein,Nein,Nein,"Spielplatz ""Olympiaberg, Martin-Luther-King-Weg""","Spielplatz ""Olympiaberg, Martin-Luther-King-Weg""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057941,"Spielplatz ""Olympiaberg, Sommerstockbahn westl. Dellergelände""",48.17022720941617,11.55740894228147,1057942,Nein,Nein,Nein,Nein,"Spielplatz ""Olympiaberg, Sommerstockbahn westl. Dellergelände""","Spielplatz ""Olympiaberg, Sommerstockbahn westl. Dellergelände""",,,Sommerstockbahn,,"Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057943,"Spielplatz ""Olympiapark Nord, Brundageplatz""",48.17835339820967,11.554098442946946,1057944,Nein,Nein,Nein,Nein,"Spielplatz ""Olympiapark Nord, Brundageplatz""","Spielplatz ""Olympiapark Nord, Brundageplatz""",,,Skateanlage,,Jugendliche,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057945,"Spielplatz ""Olympiaberg, großer Rodelhang""",48.169889818947624,11.551563484865424,1057946,Nein,Nein,Nein,Nein,"Spielplatz ""Olympiaberg, großer Rodelhang""","Spielplatz ""Olympiaberg, großer Rodelhang""",,,Rodelhügel,,"Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057947,"Spielplatz ""Dall'Armistr. Groffanlage""",48.16375922179571,11.514581661916251,1057948,Nein,Nein,Nein,Nein,"Spielplatz ""Dall'Armistr. Groffanlage""","Spielplatz ""Dall'Armistr. Groffanlage""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057949,"Spielplatz ""Tizianplatz""",48.15996780099888,11.51547766851089,1057950,Nein,Nein,Nein,Nein,"Spielplatz ""Tizianplatz""","Spielplatz ""Tizianplatz""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057951,"Spielplatz ""Winzererstr., Ecke Elisabethstr.""",48.16068164805083,11.561160634538632,1057952,Nein,Nein,Nein,Nein,"Spielplatz ""Winzererstr., Ecke Elisabethstr.""","Spielplatz ""Winzererstr., Ecke Elisabethstr.""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057953,"Spielplatz ""Degenfeldplatz""",48.16536785497619,11.575733598462161,1057954,Nein,Nein,Nein,Nein,"Spielplatz ""Degenfeldplatz""","Spielplatz ""Degenfeldplatz""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057955,"Spielplatz ""Pündterplatz""",48.162936567364135,11.577339854796092,1057956,Nein,Nein,Nein,Nein,"Spielplatz ""Pündterplatz""","Spielplatz ""Pündterplatz""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057957,"Spielplatz ""Kaiserplatz""",48.161885419587826,11.580090727120556,1057958,Nein,Nein,Nein,Nein,"Spielplatz ""Kaiserplatz""","Spielplatz ""Kaiserplatz""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057959,"Spielplatz ""Viktoriaplatz""",48.165083469569325,11.579110192890544,1057960,Nein,Nein,Nein,Nein,"Spielplatz ""Viktoriaplatz""","Spielplatz ""Viktoriaplatz""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057961,"Spielplatz ""Clemensstr., Ecke Bismarckstr.""",48.16357285160429,11.581649787426352,1057962,Nein,Nein,Nein,Nein,"Spielplatz ""Clemensstr., Ecke Bismarckstr.""","Spielplatz ""Clemensstr., Ecke Bismarckstr.""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057963,"Spielplatz ""Münchner Freiheit, nördl. U-Bahn""",48.163798576568524,11.586877242740284,1057964,Nein,Nein,Nein,Nein,"Spielplatz ""Münchner Freiheit, nördl. U-Bahn""","Spielplatz ""Münchner Freiheit, nördl. U-Bahn""",,,"Streetball
Wasserspiel",,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057965,"Spielplatz ""Biedersteiner Str., Gohrenwiese""",48.164041557321255,11.594510897117447,1057966,Nein,Nein,Nein,Nein,"Spielplatz ""Biedersteiner Str., Gohrenwiese""","Spielplatz ""Biedersteiner Str., Gohrenwiese""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057967,"Spielplatz ""Englischer Garten, Gunezrainer Brücke""",48.159143192850344,11.592815463618301,1057968,Nein,Nein,Nein,Nein,"Spielplatz ""Englischer Garten, Gunezrainer Brücke""","Spielplatz ""Englischer Garten, Gunezrainer Brücke""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057969,"Spielplatz ""Habsburgerplatz""",48.15824322101047,11.580120405852083,1057970,Nein,Nein,Nein,Nein,"Spielplatz ""Habsburgerplatz""","Spielplatz ""Habsburgerplatz""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057971,"Spielplatz ""Elisabethplatz""",48.15743615449219,11.57829897303243,1057972,Nein,Nein,Nein,Nein,"Spielplatz ""Elisabethplatz""","Spielplatz ""Elisabethplatz""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057973,"Spielplatz ""Kapschstr. Ecke Albrechtstr.""",48.153567400885166,11.542552730332208,1057974,Nein,Nein,Nein,Nein,"Spielplatz ""Kapschstr. Ecke Albrechtstr.""","Spielplatz ""Kapschstr. Ecke Albrechtstr.""",,,Streetball,,"Kleinkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057975,"Spielplatz ""Leonrodstr. 49 und hinter den Häusern""",48.156745803361325,11.541234172713327,1057976,Nein,Nein,Nein,Nein,"Spielplatz ""Leonrodstr. 49 und hinter den Häusern""","Spielplatz ""Leonrodstr. 49 und hinter den Häusern""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057977,"Spielplatz ""Grünwaldpark, südl. vom Ende des Schlosskanals""",48.15848573942478,11.528919688998988,1057978,Nein,Nein,Nein,Nein,"Spielplatz ""Grünwaldpark, südl. vom Ende des Schlosskanals""","Spielplatz ""Grünwaldpark, südl. vom Ende des Schlosskanals""",,,"Rodelhügel
Streetball",,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057979,"Spielplatz ""Hirschgarten, Wasserspielplatz""",48.147800418977525,11.509262416143631,1057980,Nein,Nein,Nein,Nein,"Spielplatz ""Hirschgarten, Wasserspielplatz""","Spielplatz ""Hirschgarten, Wasserspielplatz""",,,"Bodenschach
Wasserspiel",,"Kleinkinder
Schulkinder
Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057981,"Spielplatz ""Hirschgarten, Elefantenspielplatz und Hartplatz""",48.14715910126512,11.510719887708797,1057982,Nein,Nein,Nein,Nein,"Spielplatz ""Hirschgarten, Elefantenspielplatz und Hartplatz""","Spielplatz ""Hirschgarten, Elefantenspielplatz und Hartplatz""",,,Bolzplatz,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057983,"Spielplatz ""Hirschgarten, Kletterburg""",48.148490309620875,11.512884354669628,1057984,Nein,Nein,Nein,Nein,"Spielplatz ""Hirschgarten, Kletterburg""","Spielplatz ""Hirschgarten, Kletterburg""",,,Streetball,Kletterburg,"Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057985,"Spielplatz ""Hirschgarten, Skateboardplatz und Sommerstockbahnen""",48.148000588619134,11.516181486038585,1057986,Nein,Nein,Nein,Nein,"Spielplatz ""Hirschgarten, Skateboardplatz und Sommerstockbahnen""","Spielplatz ""Hirschgarten, Skateboardplatz und Sommerstockbahnen""",,,"Bolzplatz
Rodelhügel
Skateanlage
Sommerstockbahn
Streetball",,"Schulkinder
Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057987,"Spielplatz ""Hirschgarten, Königbauerstr. 15""",48.149705517051636,11.517415329672804,1057988,Nein,Nein,Nein,Nein,"Spielplatz ""Hirschgarten, Königbauerstr. 15""","Spielplatz ""Hirschgarten, Königbauerstr. 15""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057989,"Spielplatz ""Winthirplatz""",48.15213198095689,11.527835382486991,1057990,Nein,Nein,Nein,Nein,"Spielplatz ""Winthirplatz""","Spielplatz ""Winthirplatz""",,,,,"Kleinkinder
Schulkinder",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057991,"Spielplatz ""Schäringerplatz""",48.14904610194822,11.527554554449678,1057992,Nein,Nein,Nein,Nein,"Spielplatz ""Schäringerplatz""","Spielplatz ""Schäringerplatz""",,,,,Kleinkinder,http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057993,"Spielplatz ""Posseltplatz""",48.14803498689468,11.5332215544241,1057994,Nein,Nein,Nein,Nein,"Spielplatz ""Posseltplatz""","Spielplatz ""Posseltplatz""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057995,"Spielplatz ""Thorwaldsenstr. Ecke Lazarettstr.""",48.15186880192201,11.547392692190941,1057996,Nein,Nein,Nein,Nein,"Spielplatz ""Thorwaldsenstr. Ecke Lazarettstr.""","Spielplatz ""Thorwaldsenstr. Ecke Lazarettstr.""",,,,,"Kleinkinder
Schulkinder
Jugendliche",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
1057997,"Spielplatz ""Maßmannbergl, Ecke Schleißheimer Str.""",48.15250217977007,11.559980367636264,1057998,Nein,Nein,Nein,Nein,"Spielplatz ""Maßmannbergl, Ecke Schleißheimer Str.""","Spielplatz ""Maßmannbergl, Ecke Schleißheimer Str.""",,,"Bolzplatz
Rodelhügel
Skateanlage
Sommerstockbahn
Streetball
Wasserspiel",,"Kleinkinder
Schulkinder
Jugendliche
Erwachsene",http://www.muenchen.de/dienstleistungsfinder/muenchen/10139261/,
